From,To,Distance,Value,Fuzzy Kappa,FKS,AAWCE,WS
Residential,Residential,0,1000.0,0.9373893039330954,0.009332167066288135,0.00470691766031,0.163207760728
Industry & commerce,Industry & commerce,0,1000.0,0.9373893039330954,0.009332167066288135,0.00470691766031,0.163207760728
Forest,Forest,0,713.5254915624212,0.9375130675725981,0.010098460367662234,0.0047603239241,0.165208249541
Recreation areas,Recreation areas,0,1000.0,0.9375130675725981,0.010098460367662234,0.0047603239241,0.165208249541
Agricultural areas,Agricultural areas,0,536.4745084375788,0.9374286760504986,0.009883630506106671,0.00450902816845,0.166762174833
Pastures,Pastures,0,500.0,0.9374286760504986,0.009883630506106671,0.00450902816845,0.166762174833
Permanent crops,Permanent crops,0,250.0,0.9374286760504986,0.009883630506106671,0.00450902816845,0.166762174833
Arable land,Arable land,0,536.4745084375788,0.9375614295625844,0.009654816493561612,0.00221546440031,0.189789545044
Residential,Residential,1,12.5,0.9375614295625844,0.009654816493561612,0.00221546440031,0.189789545044
Industry & commerce,Industry & commerce,1,76.39320225002103,0.9370905357556901,0.013450605041459665,0.00224132997248,0.196665891657
Forest,Forest,1,12.5,0.9370905357556901,0.013450605041459665,0.00224132997248,0.196665891657
Recreation areas,Recreation areas,1,25.0,0.9370905357556901,0.013450605041459665,0.00224132997248,0.196665891657
Agricultural areas,Agricultural areas,1,12.5,0.9370905357556901,0.013450605041459665,0.00224132997248,0.196665891657
Pastures,Pastures,1,12.5,0.9370905357556901,0.013450605041459665,0.00224132997248,0.196665891657
Permanent crops,Permanent crops,1,50.0,0.9370905357556901,0.013450605041459665,0.00224132997248,0.196665891657
Arable land,Arable land,1,12.5,0.9370905357556901,0.013450605041459665,0.00224132997248,0.196665891657
Forest,Residential,0,6.25,0.9370905357556901,0.013450605041459665,0.00224132997248,0.196665891657
Pastures,Residential,0,6.25,0.9370905357556901,0.013450605041459665,0.00224132997248,0.196665891657
Permanent crops,Residential,0,23.606797749978973,0.9374672819531789,0.013258207533225938,0.00217579643312,0.198723964268
Arable land,Residential,0,38.19660112501051,0.9374216798621103,0.013007553815804903,0.00189614306153,0.200665853235
Forest,Industry & commerce,0,76.39320225002103,0.9374404128850453,0.015462716492503527,0.00240837839613,0.201775071695
Arable land,Industry & commerce,0,76.39320225002103,0.9378946332857326,0.01637415265846796,0.00238938242074,0.206514723867
Forest,Agricultural areas,0,12.5,0.9378946332857326,0.01637415265846796,0.00238938242074,0.206514723867
Residential,Forest,0,6.25,0.9378946332857326,0.01637415265846796,0.00238938242074,0.206514723867
Agricultural areas,Forest,0,6.25,0.9378946332857326,0.01637415265846796,0.00238938242074,0.206514723867
Agricultural areas,Pastures,0,76.39320225002103,0.9382698467193971,0.015764586571218472,0.00188094813603,0.211951218665
Pastures,Agricultural areas,0,12.5,0.9382698467193971,0.015764586571218472,0.00188094813603,0.211951218665
Pastures,Arable land,0,12.5,0.9382698467193971,0.015764586571218472,0.00188094813603,0.211951218665
Permanent crops,Recreation areas,0,61.80339887498949,0.9387200223820487,0.017519919942211224,0.00240180037823,0.213381907983
Permanent crops,Arable land,0,25.0,0.9387200223820487,0.017519919942211224,0.00240180037823,0.213381907983
Arable land,Forest,0,76.39320225002103,0.9393491052817697,0.01675186645275665,0.00217498799876,0.216875312553
Arable land,Recreation areas,0,38.19660112501051,0.9393536909099035,0.016752637520331695,0.00217175039138,0.216932544437
Arable land,Agricultural areas,0,12.5,0.9393536909099035,0.016752637520331695,0.00217175039138,0.216932544437
Arable land,Pastures,0,25.0,0.9393536909099035,0.016752637520331695,0.00217175039138,0.216932544437
Arable land,Permanent crops,0,25.0,0.9393536909099035,0.016752637520331695,0.00217175039138,0.216932544437
Natural areas,Forest,0,61.80339887498949,0.9388665876712442,0.018218784282445482,0.0020135062142,0.21974483692
Recreation areas,Residential,1,1.25,0.9388665876712442,0.018218784282445482,0.0020135062142,0.21974483692
Permanent crops,Residential,1,1.25,0.9388665876712442,0.018218784282445482,0.0020135062142,0.21974483692
Arable land,Residential,1,1.25,0.9388665876712442,0.018218784282445482,0.0020135062142,0.21974483692
Agricultural areas,Industry & commerce,1,38.19660112501051,0.9393562347273516,0.022649362548134037,0.00288900105255,0.224514569482
Arable land,Industry & commerce,1,1.25,0.9393562347273516,0.022649362548134037,0.00288900105255,0.224514569482
Fresh water,Agricultural areas,1,1.25,0.9393562347273516,0.022649362548134037,0.00288900105255,0.224514569482
Mine & dump sites,Forest,1,76.39320225002103,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
Airports,Permanent crops,1,2.5,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
Agricultural areas,Pastures,1,2.5,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
Agricultural areas,Permanent crops,1,1.25,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
Agricultural areas,Arable land,1,1.25,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
Pastures,Agricultural areas,1,2.5,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
Pastures,Arable land,1,1.25,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
Permanent crops,Recreation areas,1,2.5,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
Permanent crops,Pastures,1,1.25,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
Permanent crops,Arable land,1,5.0,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
Arable land,Agricultural areas,1,1.25,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
Arable land,Pastures,1,1.25,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
Arable land,Permanent crops,1,1.25,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
Natural areas,Forest,1,5.0,0.9395693803526525,0.025796283411794838,0.00255340902174,0.236803520075
